State,Year,Quater,District,Users
Arunachal Pradesh,2020,1,anjaw district,1747
Arunachal Pradesh,2020,1,lower siang district,2201
Arunachal Pradesh,2020,1,dibang valley district,320
Arunachal Pradesh,2020,1,west kameng district,13983
Arunachal Pradesh,2020,1,shi yomi district,290
Arunachal Pradesh,2020,1,east kameng district,1962
Arunachal Pradesh,2020,1,lohit district,8454
Arunachal Pradesh,2020,1,lepa rada district,1532
Arunachal Pradesh,2020,1,lower dibang valley district,4650
Arunachal Pradesh,2020,1,longding district,2201
Arunachal Pradesh,2020,1,west siang district,5757
Arunachal Pradesh,2020,1,kamle district,373
Arunachal Pradesh,2020,1,upper siang district,2143
Arunachal Pradesh,2020,1,kurung kumey district,725
Arunachal Pradesh,2020,1,siang district,1390
Arunachal Pradesh,2020,1,kra daadi district,701
Arunachal Pradesh,2020,1,changlang district,11262
Arunachal Pradesh,2020,1,pakke kessang district,371
Arunachal Pradesh,2020,1,east siang district,11298
Arunachal Pradesh,2020,1,upper subansiri district,3675
Arunachal Pradesh,2020,1,tawang district,8048
Arunachal Pradesh,2020,1,namsai district,6029
Arunachal Pradesh,2020,2,lower subansiri district,5392
Arunachal Pradesh,2020,2,tirap district,5239
Arunachal Pradesh,2020,2,papum pare district,59968
Arunachal Pradesh,2020,2,anjaw district,1961
Arunachal Pradesh,2020,2,lower siang district,2644
Arunachal Pradesh,2020,2,dibang valley district,367
Arunachal Pradesh,2020,2,west kameng district,15766
Arunachal Pradesh,2020,2,shi yomi district,320
Arunachal Pradesh,2020,2,east kameng district,2506
Arunachal Pradesh,2020,2,lohit district,10154
Arunachal Pradesh,2020,2,lepa rada district,1890
Arunachal Pradesh,2020,2,lower dibang valley district,5782
